192.168.1.6 - - [18/Jun/2020:09:13:59 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:13:59 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:09:13:59 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:14:01 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:14:01 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:09:14:01 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:14:11 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:14:11 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:09:14:11 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:17:49 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:17:49 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:09:17:49 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:18:31 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:18:31 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:09:18:31 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:18:35 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:18:35 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:09:18:35 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:19:07 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:19:07 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:09:19:07 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:20:07 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 716
192.168.1.6 - - [18/Jun/2020:09:20:43 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 16
192.168.1.6 - - [18/Jun/2020:09:20:43 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 16
192.168.1.6 - - [18/Jun/2020:09:20:43 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 777
192.168.1.6 - - [18/Jun/2020:09:20:43 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 2
192.168.1.6 - - [18/Jun/2020:09:20:43 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 2
192.168.1.6 - - [18/Jun/2020:09:20:43 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 2
192.168.1.6 - - [18/Jun/2020:09:20:43 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 2
192.168.1.6 - - [18/Jun/2020:09:20:43 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 2
192.168.1.6 - - [18/Jun/2020:09:20:44 -0300] "GET /WebServlet/Servlet?acao=1&cnpj=03.181.124/0001-09 HTTP/1.1" 200 15773
192.168.1.6 - - [18/Jun/2020:09:20:44 -0300] "GET /WebServlet/Servlet?acao=1&cnpj=12.820.572/0001-04 HTTP/1.1" 200 15773
