0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:10 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:10 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:10 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:10 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:10 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:10 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:10 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:10 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:10 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:10 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:10 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:10 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:11 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:11 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:11 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:11 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:11 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:11 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:12 -0300] "POST /eRelation/servlet HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:12 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:12 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:12 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:12 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:12 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:16 -0300] "GET /eRelation/perfil.jsp HTTP/1.1" 200 11073
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:16 -0300] "GET /eRelation/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:16 -0300] "GET /eRelation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:16 -0300] "GET /eRelation/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:16 -0300] "GET /eRelation/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:16 -0300] "GET /eRelation/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:16 -0300] "GET /eRelation/icons/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:16 -0300] "GET /eRelation/img/texture.png HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:42:16 -0300] "POST /eRelation/servlet HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:33 -0300] "GET /eRelation/perfil.jsp HTTP/1.1" 200 11073
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:33 -0300] "GET /eRelation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:33 -0300] "GET /eRelation/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:33 -0300] "GET /eRelation/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:33 -0300] "GET /eRelation/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:33 -0300] "GET /eRelation/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:33 -0300] "GET /eRelation/icons/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:33 -0300] "GET /eRelation/img/texture.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:33 -0300] "POST /eRelation/servlet HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:44 -0300] "GET /eRelation/home.jsp HTTP/1.1" 200 3148
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:44 -0300] "GET /eRelation/js/script_home.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:44 -0300] "POST /eRelation/servlet HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:44 -0300] "POST /eRelation/servlet HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:44 -0300] "POST /eRelation/servlet HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:44 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:44 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:44 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:44 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:44 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:45 -0300] "POST /eRelation/servlet HTTP/1.1" 200 683
